got the news, Surprise
 bighugclub that gets around the problem i had of doing it all myself good idea , Sad
 vian yeah real hard but i know you ll get by with it smile, Sad
 queeniecyrus morning miss sarah cyrus what s up x, Sad
 naiadrisa heh that s happened to me before too hope the rest of your week goes better , Sad
 bennglazier nup no cd either just a whole bunch of zeros and ones you can have for free, Sad
 dutchreaganite roflmao i feel inspired to go start a huge bonfire now, Sad
the dutchess such a sad film but still a fave , Sad
boring sunny monday no school tired lazy hungry yeah in a great mood , Sad
day started off bad but got better, Sad
am hungry going to eat catch up with you guys later amp  people who are hurt by my sardonic quotes why are you waiting hit me back, Sad
 fudgecrumpet ok i believe you but i have a belly button lol, Sad
night out had  b put on hold   weeks coz i was so ill last nite gutted still had a nice nite tho but whers the sun gone , Sad
hate this song http blip fm jgf, Sad
well after a glorious weekend it s only bloody raining nice bh in order then , Sad
 tizzik yeah ill make sure i keep you updated i get it all delivered, Sad
 fudgecrumpet saw the deforestation so not surprised of bad back but mrsfudgecrumpet moan back at you lol, Sad
 underdog was gonna say probably kill ya serve the sentence and be living on the insurance cash by now you are insured right lol, Sad
so what are you all doing i m eating crackers yummy the unsalted ones of course i only do salt in my caviar , Sad
 chloecazrhi why thankyouu , Sad
wtf why am i just getting up now hm tm today but before that revision revision revision , Sad
can t sleep throat dry as hell ugh still gon wake up fabulous , Sad
 beverleyknight hiyaaaaaa just got back from the scan wow was amazing i cried haha xx, Sad
 zobi haha yes i do it s hard work too i didn t get home until   am not like i sleep haha , Sad
shower time , Sad
another week starts, Sad
this weekend went by way too fast on my way to work with david archuleta in tow , Sad
mentally exhausted a cuppa right now with almond biscotti would be really nice , Sad
going to group therapy session can t wait to spill my guts ha ha ha, Sad
 abeen good question nepal pm declaring to resign and actually resigning is two very different things , Sad
 bwhips good to know i m not alone in my confusion, Sad
 seen up cï ½m on anh ko the chiu no i noi nhï ½ tifa roi d thang cloud danh dam gi mac ke no quot gt , Sad
 nptnmkiii so many rules you expect people to be human and have a pic pfft good morning welcome to another monday , Sad
 sweetcharlotte we should there will be another thrown i m sure but this one will be with my american family, Sad
 sparklethots love that birdy nest though i already got us another kind, Sad
thats my moan for the day, Sad
 yassak you hate her i love her presentation got cancelled i got up at  and went in to work today for this pitch , Sad
 fotowala nice your book will be a ready reckoner for new stuff next time i m there , Sad
well i m gonna go now goodbye all , Sad
waaaa i ran my machine problem yeah , Sad
eating breakfast getting ready to go to school , Sad
 iamdiddy if i knew it was gonna be this kind of party i would ve stuck my dick in the mashed potatoes , Sad
the aspitar hospital in doha is amazing great service nice building and free wifi win, Sad
 pd aw poor you ironing eek lol it s raining here too prob try and get out with the kids later nt too exciting im afraid , Sad
 suzimeow yeah u better be , Sad
 threefromleith poor you i m off on bank holiday monday today too, Sad
boo to the rain just got all pruney in the bath oo its may day the crazy morris dancers will be having it large in ampthill lol , Sad
 quot my problem isn t that i miss you cause i don t quot , Sad
it s  pm sun is setting soon and i should be setting off soon too grab some dinner and catch sitcoms , Sad
listening to am teddy picker she saw it and she grabbed it and it wasn t what it seemed, Sad
apparently it s starwars day today i like this shame i have revision though , Sad
bank holiday in the uk it s raining typical uk bank holiday weather if it dries later i ll get the chainsaw out for the trees , Sad
 amesox heyy dude yuup thats it really hows your monday x, Sad
i m dragging myself out of the low point slowly and with wine to assist prob not v sensible but these lows don t hit very often , Sad
is excited to be visited by her twin and best friend dinner star gazing and a movie cool http gykd net, Sad
in a philosophical mood tonight wandering round after dark does that for me, Sad
 fiendfyre never ever smoking around you again , Sad
 rossmcw happy birthday let us know what you get up to old boy, Sad
 alyankovic oh i ate pizza last night too i stupidly feel closer to you somehow , Sad
i m watching missing pieces just coz the theme song is lost without you, Sad
 bhuto given the way kunal khemu etc starrers turn out there is a high probability of it being shit rather than niche , Sad
 xkirstyxo basket case is mine i miss it going to have to listen a shit load now, Sad
lol if i only can stay up a few more hours i keep missing tila s last posts , Sad
 howby hm sorry to hear that well keep holding on my break is over i ll go take a nap now , Sad
hard to start the week after a long fun sunny weekend of tennis free food and drink and very nice people  days to go until next round, Sad
right i must be off to do some sewing bye x, Sad
up late last night oracle from  to  , Sad
 mshady courgette, Sad
hey everyone guess what rooney isn t coming today , Sad
 kixxa i m somehow totally distracted by that shirt i don t even know why suddenly he s like the guy next door , Sad
is babysitting  dogs they are all over the place , Sad
 davewares working my  day weekend is over aah well another one coming in  weeks, Sad
sorry mum will treat you well from now on, Sad
my life would suck without you kelly clarkson, Sad
just a couple thoughts was bored this morning, Sad
 pickleshy it s tongue in cheek of some mentalities there is another one which takes the piss of arabs but its too long, Sad
 mercuriosjewels wonderful trip read all  twilight novels completely all consuming and engrossing kinda sad to be done , Sad
especially hard to get out of bed with myself this morn cuz i m hot now running late stuck in front of the mirror checking myself out, Sad
iï ½m boring bad weather today watchingn alias and having fun with my boyfriend, Sad
its funny you said we d never make it and look how far we ve come im back on heahhh um yeah school , Sad
in the mood to listen to some reg stuff sir told me u used to be a huge fan of mine but now it seems you ve forgotten my songs , Sad
weathers let me down this morning ugh hada gd nite tho , Sad
http snipurl com hbpg canalway cavalcade over in little venice near warwick avenue on today too, Sad
go to school reviens ï ½ h, Sad
respect to fresh for the heineken man bag http twitpic com jdrg, Sad
still trying to get this all figured out , Sad
i was right street market rain not a good idea am at home now with the fire on and a bacon sandwich yummmmm, Sad
 shotdown haha she s up here to stay it s nearly  hours on the coach for her to get here may not be convenient for an hour of tv , Sad
working working and working at www redirlanda es many hours spent but it worth letï ½s make red irlanda big, Sad
 marnixtfn ahahahah hello to you and welcome on twitter got the hang of it already xx, Sad
 petetaylor i miss you too , Sad
i am going to work than ill be home and im going to look for my camera since it must be lost in my house everyone have a wonderful day, Sad
i sure do wish my mind could enter that box called quot nothing quot that men have my brain just won t go there and it s exhausting , Sad
 pink wow   now your really kickin carey s butt with this competition see you both very soon , Sad
 dotcompals yes nice i missed a lot of fun damn exams you are looking good hair, Sad
 chah haha hey well if you were in the elevator you should have said more , Sad
ugh i m so tired waitin for the bus jpbabii good morning , Sad
off to teach a bunch of fifth graders for the morning oh joy , Sad
waking up at ungodly hours to go to work is starting to get old at least the coffee is good, Sad
 poojashetye until i break up with you via a  second phone call, Sad
illy s note in the book quot from one geek to another keep up the good work quot sigh he is missed and he was great for espresso , Sad
dinner was yummy and all but i m still super tired after all the things we went through to enroll for college , Sad
woke up this morning to the line quot i made this half pony half monkey monster to please you but i get the feeling that you don t like it quot , Sad
in st period i hate this class can t wait until i m home i ll b the happiest person in the world wen i m home , Sad
 seoulbeats romance zero is funny, Sad
finished with mtml assignment but didn t like it at all feels like i missed lotsa points but the word limit is  hmmpph , Sad
i wasn t sore yesterday but i m definitely feeling those hills now my legs hurt all the way up to my booty its a good hurt, Sad
 sensualbodyrubs hope you get your car today hate anything that stops me from my work , Sad
 bye plurk out muna will be back when im done reading the book http plurk com p rqc, Sad
will be practicing my smile today it s gunna be big , Sad
downloading chex quest been about  years sins it s final release you say your right , Sad
what can twitter do for me, Sad
got an a in english again yay but a d in maths, Sad
is bored waiting till   to go out to tha bus, Sad
back had a great mad monday meeting tomorrow, Sad
the old internet is fairly boring today nothing new on it, Sad
 dbdc lol i hate when that happens all hyped up and its over before you know it lunch sounds nice hope you have a nice time , Sad
is school we re gonna learn how to use skype, Sad
is going to her last full day of school life is good , Sad
 ankurb just kidding don t go around quoting me, Sad
 misfitdior good morning misfit passes you tylenol , Sad
i wish i could take my pillow to school dead serious , Sad
 iveland don t know it really hurt my arm guess you have to booze me or just ask hpeikemo or erlandwienke if you don t believe me , Sad
i am sleeepyyy today busy work   library class    tanning packing bit of sleep atlantic city airport myrtle beach, Sad
is pretty dang tired but chambers class is for napping , Sad
 podagraph wait a min u pretty much home til u jump the pond i have  wk  go if i could find a cheap flt it s a thought haha , Sad
so tired after work but i have king s bounty add on and a vampyre story for a evening and x men comixes is completely donloaded, Sad
 oliyoung, Sad
trying to figure out this whole quot twitter quot thing thanks scott amp allison now i can t concentrate on work, Sad
on my way to school not feeln this rainy day at all but i had lots of fun this weekend , Sad
besides feeling sick some things have made me feel particularly happy, Sad
 sethsimonds i am grateful for a great marriage awesome kids and a business that rocks i guess the rest of my family is ok too , Sad
good morning kid going back to school after  sick days looking forward to a productive week happy monday , Sad
 sheiroq fuckyoumonday i like it it s a totally crap tastic rainy day here i m off to work hugs , Sad
 magmaflow not yet too early in the am, Sad
 shanelapoint hey hunnie how are u i miss talkin to u ty for the follow, Sad
does not want to go to school oh well i get out early anyways , Sad
 rawrrgasmic it s a dreary monday morning and i slept like crap give me a break , Sad
 paulamackay i think he thought about it but then i sneezed on him, Sad
 squiretwizz you re right you don t do sympathy very well, Sad
off to school so tired didnt hear the  texts i had last night lol still tired but i love jesus christ, Sad
 syzygy thank you, Sad
in pain from earlier gym session a necessary evil after too much beer this past year, Sad
 pauldoussay yes i m the only stupid girl of my kind , Sad
 janegoth it has however got me out of doing the gardening something for which i am eternally pleased, Sad
 shonali hello i d like a little chat but can t dm you is there a mail id , Sad
 to go and uploading photos to email would be ten tenenen tenen done, Sad
is planning her week its going to good going to get a lot of stuff done, Sad
chilliin, Sad
 sargedunn oh i am sorry my friend katie amp i will do our best to keep you cheery, Sad
is feeling sick oh well i reckon those people on the bus cursed me anyways nighty night all , Sad
getting to play golf with our kickin leadership team i have a feeling they r gonna kick me on the golf course, Sad
 mattvega mattvega sikeeee i m sick cough , Sad
 sampad till then ice cream , Sad
when i decide to be on time for something that devil is always there to counteract frustrating but not discouraging , Sad
 stormb not in this part of surrey either feeling quite a bit nippy i must say afternoon to you, Sad
ill and bored on bank holiday nothings open bad times film it is, Sad
 djsteeley i think it s less of a tribute and more of a parody , Sad
on the computer alllllllllllllllll day, Sad
has a lot to catch up on from the weekend the bhr hosts have been busy busy busy http plurk com p rqpl, Sad
 mattthewhoare please don t tell me they ve cut the price of macbooks although if photoshop has been reduced that d be great, Sad
 asexynyfemale just make sure you have it well done, Sad
good morning http blip fm jnl, Sad
sitting in katies house with jo the other two are away doing stuff and i have swine flu and bronchitis but thats a diff story , Sad
 antidepressiva i get motivated by the fact that i know i ll wake up and be more productive if i go then if i sleep in just me though, Sad
 izzndsophtv i want to experience snow we don t have snow here and it sucks, Sad
eating a bagel yummy, Sad
 juenese i totally felt bad for the guy haha im good i miss you guys , Sad
wish i was in london to personally witness the nun run what a great idea for the opening of sister act s new broadway show, Sad
checked the bank acct this mornin got a lil sad then decided i would imagine a  on the end just to make me smile whateverworks, Sad
 jerzegurl hiya missed you too what have you been up to , Sad
 i am going to fail my art final fml this was by far the worst semester of my life school wise otherwise it was the best, Sad
hell of a lot to do but they say you shouldn t complain theese days who are quot they quot and can quot they quot help me in that case, Sad
 lesnoyse when will she b finished, Sad
 yaseminx know hahah xd what cha doin , Sad
pizza for breakfast shower classes, Sad
i m feeling pretty energized amp ready to face the day w only about  hours of sleep hope it lasts all day , Sad
 petercoffin maybe if we pass a lay making the swineflu illegal law abiding citizens won t get it, Sad
going to bed in pain fell on my shoulder today good night, Sad
my computer is so slooowww this morning i think it s a sign that i should go home and play in my yard , Sad
got my attics w sadie art work included good times just broke my head phones bad times still happy buy attics , Sad
just another manic monday wish it were sunday that s my fun day happy monday twitterland, Sad
 celestialbeard http ten com au good news week htm lt this is it definitely nothing christian about it, Sad
miss your smile, Sad
ac is broke at the house waiting to get an estimate on timeframe to repair on the bright side gonna join colab this week , Sad
has a new nick name arosh i like i like, Sad
 ronenk jewlicious guys nothing is free in life where is my shidduch money , Sad
happiness comes from within so the fact that it is a gray rainy monday doesn t bother me well not too much , Sad
 amandawilk yes unfuzzy i prefer the fuzzy me and clear caleb wanna turn back the clock , Sad
rainy mondays is there a better day to work at home i am thankful , Sad
 vivyouell you got me that s where i m obviously going wrong , Sad
 thriftymom tear , Sad
 mongab i want you all here with me too ya l shoulve gone with rm , Sad
livinghandy de   stay tuned http www livinghandy de , Sad
is at panera eating a bacon egg and cheese with a coffee http twitpic com jip, Sad
 lulurocks that is messed up i hope your day gets better , Sad
concert tonight chackin out and not coming tomorrow , Sad
dreary bus ride home im rubbing my eyes out but at least i didn t spend the day in school over  hrs well spent, Sad
 monodi what lol , Sad
 dae man that sucks and i feel your pain if you were local i d buy you a cup of coffee , Sad
it smells like the beach from my job , Sad
 slovakbrewer yeah i wanted to have some i was bottling so it s sanitized and all good it tastes like those choc oranges , Sad
really tired and need to be up in the morning off to bed good night all , Sad
i hate waking up early but i need to make up my  hrs at my pharmacy class gt sighhh in other news breakfast time , Sad
sooo long twitters i m off to cuba, Sad
he said it he actually said it and i think i m gonna cry now lt , Sad
round two of vega vanilla chai flavor just realized that i have only  days left, Sad
 damiencripps awesome such a shame though mark who was the fiddle player died last month fab version of good riddance i have the album , Sad
is pretty damn chipper today even if the weather is rubbish excited for things to come xxx, Sad
i m surrounded by negativity good thing there is a fly guy to give me hope that there is something better thank u jesus, Sad
spoke out in class again now the dreaded ch bio test, Sad
woke up late amp trying to get sh t done before work, Sad
apparently im not getting drives to school in the morning anymore well my dad left so no school for me this morning watching twilight, Sad
i got a full day of work today can t wait in tell i get home for some beer and tv time but i got to make the money to get the beers, Sad
 jaymiealyson i mean give lol with a finger then crash her car lol jk thats bad just ignore her, Sad
 scarymommy sure my entire blogroll is terribly updated but this could motivate me to update and redo it , Sad
 sln it was lies and my fav song is not alone from room on the rd floor, Sad
 iunfold that s true i never believe my staff when they call in sick on mondays or fridays lol , Sad
 imjustcreative com on dude always think that things can get worst, Sad
 dumbblondy too bad u can always change ur profile pic again, Sad
 kurtismarsh too far to go unless the prize is in the millions we know who wins, Sad
wishes it wasn t a bank holiday so he could be on the radio this afternoon but at least he has another week to come up with some ideas, Sad
the gray hat python book reminded me how many security tools are python version specific which is a pain if you need to use all of them, Sad
 marissa heyy i finally got one too oh and good luck on your finals today, Sad
 prchelsbe i heard the yellow light maybes put on a great show saturday sorry i missed it chelk , Sad
intel gfx driver situation much better with recent upgrades kernel   rc and driver from git suspend working again fewer mem leaks, Sad
 alyssamilano hey there thought i d tweet you to say hi i have so much to write but theres no space in this little box hehe damn, Sad
 doctahana can t really do anything about that now can i , Sad
 smileitsbubbles that is yo name girllll , Sad
 scottharrison thanks for the dm i am on the atl twestival committee amp really hope you have a public speaking event soon enjoy atl, Sad
 deniserd yo wake your ass up and go to work go get that paper u aint sick dont lie, Sad
 sbcvandy omg i know i give myself a stroke everytime i go getting mad at them quietly with the windows rolled up , Sad
at school blagh yay i m getting the iphone in august , Sad
watching quot all the kings men quot it be pretty good so far , Sad
 perezhilton hey perez good luck well i m still planning for a big present to be given for my mom i love you mom , Sad
 thisisbenwood i wanna go see them in edinburgh won t happen though haha yir lucky and have funnnn xxx, Sad
idk why im so hyper im jumping everyhere ugh lets let it be friday sweeney todd then cinco de mayo il those parties, Sad
 missdeeeee don t encourage me i ve got years of this stuff you will regret it , Sad
 aweekes haha nope she won t altho my train back from leeds i booked an hour too early and they won t let me change it , Sad
 heartsong glad you had a wondrous beltaine mine was quiet yet in sync with the season miss you all , Sad
 nickiminaj nicklaus iï ½m mad i missed you out in va last night i was gonna snatch you up and make you wifey  is minee, Sad
i m up i have a plan to transform my bedroom today random , Sad
good morning scary world , Sad
 orbicule wow great promo for orbicule is there an english translation somewhere my norwegian isn t that good, Sad
i didnt know there was a starwars day, Sad
big sugar yet another  s bandwagon i was too late to get on next s amp d bnl should reunite them kind of like they did for the odds , Sad
 singz so i think im jst abt done being ur girrrlfriend im leavin im leavin jst love cm , Sad
desktop quad core win boot time   quot laptop dual core w ssd win boot time   quot gt ssd for desktop arrives in  days, Sad
 jordanknight i m not having a good day can u cheer me up with a tweet even tink will do lol , Sad
 jimmyheartcore awwwww snaaaap jimmaaayy you are the man with hookups too bad i m so far away , Sad
 xxpat not that school wouldnt suck all the time, Sad
blerg damn you monday why must you always come decent weekend new glasses hair color and got carded at gamestop awesome ego boost, Sad
 trothlisberger that s fucking awesome bookmark , Sad
 afey umm how abt a comment like that p quot i dont like this quot , Sad
 jordanknight i have now officially resigned myself to never knowing what tink means , Sad
 mickster you don t have to rub it in , Sad
 stii no it makes you realise how doomed humanity in usa is, Sad
 dragonblogger my pleasure i really enjoy your random word poetry and am disappointed when i miss out on participating , Sad
 tuaw in case no one gave you a heads up at amp t just put out an iphone app for account management mywireless i d love to see a review, Sad
 etsy never noticed that before but you re right guess that s because my heart is always dreaming of travel , Sad
what am i doing atm http twitpic com jmeh oh yeah apple juice i m such a rebel , Sad
going to the lumberjack party, Sad
awww i wonder when ima get married shawna and damon are so cute, Sad
 kausarazam hew how u been srry i haven t posted a vid in forever i feel guilty lol so in the next few days hopefully, Sad
i meant mamas, Sad
if you save these pix from the today show please credit www wireimage com thanks, Sad
 kurliedoc poor grace you need to date a cute male nurse , Sad
ok shopping was far too fun unpacking the bags now, Sad
 redhotcopy i fell asleep on a plane watching frost nixon hope it works out better for you than it did for me, Sad
slept in woke up with an iced coffee lazed about amp went out for a late lunch with the bf it s been a sweet little laid back saturday , Sad
just finished mowing the lawn , Sad
good morning today is my last day of quot freedom quot back to work tomorrow i m sorta stoked not stoked but well , Sad
 sobbee naw it was pretty tame only  guy in costume a voyager style quot medical quot uni disappointed there weren t any more in costume , Sad
i m in va for the weekend my youngest son turns  tomorrow it makes me kinda sad he is getting so big check out my twipics, Sad
 yourfaveblonde i could have i had extra tickets plus we had two twitter giveaways we ll get you next time , Sad
at the apartment nothin to do a little hungry http myloc me fim, Sad
nanay cried after reading the card i gave her hugged her and next thing i knew i was crying too haha we re such cry babies love her , Sad
 misskrenee on a saturday not so cool friend same job different position let me know when your in town again miss u, Sad
im feelin rite the mood flor twitter after dark , Sad
im joining twitter lol, Sad
we did what we had to do, Sad
 aliceqfoodie wow you mom has a lot of energy i m getting tired just reading your tweet and ur living it , Sad
 dannywood btw i still can t believe how awesome the newjabbakidz performance was u in the masks i screamed at my pc, Sad
 coecobroker and i still recall how helpful you were way back when as i struggled on an ar contest question , Sad
 gheekchik hmmm the one restaurant one grocery is sad not the dukbolgi , Sad
 guilty awww so that s him nice attempt at hiding from the camera, Sad
a successful shopping day, Sad
back then i didn t know why you were misunderstood so now i see thru ur eyes all that u did was love mama i love you, Sad
 vonstroke heidi just finished her set at stiff kitten with aundy, Sad
 santojay they assume you won t be able to afford traveling anymore now that you ve got a contract with them, Sad
i have the best brother in law in the world he just sent me twilight blue ray gift set now if i only had a blue ray player, Sad
 lanceschmidt yeah i was kinda bummed but tell them i m gonna miss them too i loved your class you guys made student teaching fun , Sad
pappadeux has some yummy strawberry lemonade, Sad
i m causing trouble with my partner in crime , Sad
i am sitting at the computer eating grapes it s hailing outside o i miss summer , Sad
ok i m out of here for now just popped in to say hi and check on things i ll probably head to the guttah later on tonight, Sad
wondering what misery looks like look at the faces of all the cubs fans at miller park tonite sorry chicago friends tonights our night, Sad
it gets worse every year and   will be the worst oh and  months today , Sad
sitting outside in the cold by the ocean with a glass of wine , Sad
 nursedoublek have someone help you with the makeup you gots to go out looking fine and have another shot, Sad
 tooshie interesting people like you should never be bored tooshers , Sad
missing my hobo slut tramp way of life and cooking for my mother on a saturday night mama i luv u, Sad
 grovesyrmi sorry about it, Sad
 kristenhaulser yuppp i was gonna get it up top but i didn t i will soon but i got nd holes instead, Sad
i have no idea what im doing and i am completely lost , Sad
was an international student today had sooo much fun at sixflags with friends i don t know well enough , Sad
work work work and why did i get so tired all of a sudden paularos nicole told me you say hi aww she was so enthusiastic hi paul, Sad
 rebeccanavarro banditta sorry i m back food was calling my name lol all is good here and hi sorry i haven t said sooner lol, Sad
happy mother s day mm mums hope you all have a lovely day mamam, Sad
with alex, Sad
re pinging ghostridah why didn t you go to prom bc my bf didn t like my friends, Sad
hmmm http www djhero com is down, Sad
choked on her retainers, Sad
 perezhilton lady gaga tweeted about not being impressed by her video leaking just so you know, Sad
 raaaaaaek oh too bad i hope it gets better i ve been having sleep issues lately too, Sad
i ate something i don t know what it is why do i keep telling things about food, Sad
on my way home n having  deal w underage girls drinking gin on da bus while talking bout keggers damn i feel old, Sad
damm servers still down i need to hit  before all the koxpers pass me, Sad
i hate cancer i hate it i hate it i hate it , Sad
i need skott right now, Sad
just picked up her blackberry from the middle of the street both she and it are crushed , Sad
why do i have the feeling i should be packing and hitting for sfo around this time of the year i think i m missing something , Sad
bed its time hope i go to school tomorrow all though i don t feel very well right now, Sad
 onscrn ahh well i was hoping that i could learn some stuff on the way why not you and i work on separate things but also, Sad
why am i so tired , Sad
sucks not being able to take days off of work or have the money to take the trip so sad, Sad
 itsgabbith at once haha poor aby still gets sore , Sad
 davidcooklove ia so much i haven t really been happy with any of cooks choices for singles , Sad
so i think my son might have the flu cause i def just cleaned up a stanky puke mess poor pumkpin, Sad
 and all woman who transfer their first impressions sexual maternal onto a less threatening man are themselves as weak as him , Sad
bitten to blood by my cat on my way for a rabies bacterin seems  shots for  months never wash my cats at home again they hate water, Sad
is sad that shin ae got married and it wasn t to alex, Sad
 shondarhimes sure you will tweet about this when you re back but news is abuzz about tr knight s leaving quot confirmed quot today muy triste , Sad
goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now , Sad
fresh prince and sleepy sleeps my nightly routine gotta go to dmv early tmrw, Sad
 emmarler i am jealous of your mom talking to taylorswift i want to see you all our twittering is making me miss you, Sad
i can t sleep i keep thinking about the puppy i played with today, Sad
 i m suppposed to be sleep but i got some much to do amp i got that one part of the song stuck in my head quot your a jerk iknow quot blaahh, Sad
last one month due to summer strawberry is not availble in the chennai markets , Sad
first ever dropped call on my mobile on a call to telstra no less being charged for data even though i have a data pack , Sad
oh no one minute too late oh well, Sad
ahh big scary bug flying around my room , Sad
is up with a nasty cough i cant be sick i have a huge weekend ahead of me, Sad
 poinktoinkdoink he died wait what about magic jack i just read it , Sad
 my nose stud fell out and i can t find it looks like i ll have to head into amsterdam today and get a new one, Sad
i cant sleep but im too sore to move, Sad
achieving a new appreciation on how a xml build script can really be painful and cumbersome, Sad
 omfgiselle i cant do anything, Sad
my head hurts so bad i could scream , Sad
i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain, Sad
new work wellness challenge not going well i committed to not check email between  pm and  am failed on first day twice, Sad
new blog post blog auto insuran i just found that my auto insurance policy had been expired i am too careless meanw , Sad
oh men i really can t see my face c mon guys , Sad
i m showing my age renewed my tags last week went down  got my insurance renewal email today went down  i don t wanna be old, Sad
my sole supporter is not my sole supporter, Sad
 emilyyy urgh stop it guys, Sad
up reading tabloids about other people s lives thinking what i m gonna do with mine when my baby leaves , Sad
i got a giant splinter stuck up underneath my finger nail today at muppets it hurt but i got to go to first aid for the first time , Sad
is feeling sad for some reason http plurk com p wxji, Sad
 jaychuck its so addicting but its kind of a curse to do them at night time everytime i do one i feel like making music afterwards, Sad
 jertronic it wont let me, Sad
spent last night in a amp e er wife tangled wheels with daughter amp hit the deck dislocation amp fracture resulted , Sad
 thelastdoctor  days i m about ready to visit torchwood and see if they ve heard anything, Sad
ate mandy please forgive me i really am sorry i don t wanna lose my bff, Sad
why are plane tickets so expensive, Sad
needs a job badly , Sad
went to di bella coffee roasters today and asked for a job the person i needed to speak to is on holiday fb, Sad
people in my house do not know how to close doors, Sad
 munchkinhugs i don t like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death, Sad
wants to make a music profile but i don t have money i don t know how to write music i don t know how to play an instrument and no studio, Sad
it s   am and i hear a helicopter flying over my house that s kind of weird in other news my headache is back booooo , Sad
 sugar oh no i am always here lt , Sad
i think the vog is making me sicker than i think feeling slightly achy, Sad
i am doing homework it sux big time maths is the worst , Sad
i downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they didn t, Sad
i m sooooooooooooo confused, Sad
work day  of  , Sad
 superjerry no refunds but they do retrieve accounts takes like a week just hoping the thief doesn t use hacks or then it s permaban, Sad
not super keen on the drive home through the rain additional concentration required that i don t really wanna deal with, Sad
no transport for church wont be making it im crushed oh well more time for assignments i suppose my throat really hurts , Sad
 seemouserun so i tried jumping without the trampoline and its like thud thud shouldn t have eaten that cookie http myloc me xiz, Sad
i have forgot the live with the jonas brothers on facebook, Sad
i have to admit i m a bit bummed out that i wasn t with my friends walking today , Sad
my twitter has been hacked again, Sad
 jmoriarty i don t even want to know why you know about vhemt but don t go we d miss you, Sad
omg ness it s   pm and i need to beup early to set up my garage sale it starts a am wish i said am i m beat , Sad
okay so twitter suddenly changed how do i respond to messages now, Sad
decided that no matter how good my hair looks curly it doesn t justify the burn i get from the curler my hands covered i suck at it , Sad
sprained my ankle like really badly and tore some stuffs it hurts and its my birthday weekend, Sad
hope i get a job cuz we need an apartment i m drunk amp miss my lil punkin tehe , Sad
just got home not wanting to read the last chaper of breaking dawn cause i dont want it to beover, Sad
i need to be held gnite , Sad
hanging out with sam billy and veronica not going to school tomorrow to take sam to body shops dang car accidents, Sad
 bloodrain i wanna see her hair hows everyone , Sad
aww pray for the arroyo family everyone , Sad
 wuzzyangel you never answered your dm i sent you i need your info , Sad
am trying to get through the pilot of the first season of friday night lights oh gosh pass the tissue , Sad
i have cystic lacrimal infectection my eye and face are swollen and it hurts , Sad
 jose i didn t think anyone caught that, Sad
looks like i ll never go to the zoo, Sad
 djvinceadams ohh poor girl i ll email her i am relying on you being here in october mr , Sad
 moss bad times , Sad
 sharonhayes thank you for the rec but that doesn t work, Sad
my puppy gizmo hs me haha he still growls me i always look back my long pruple scar on my fingie, Sad
i don t know how ima work out tomorrow wit my body dis sore ugh, Sad
i m feeling this pressure in my head that always kicks in just before a nasty headache i m not looking forward to this , Sad
i m suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts , Sad
lady across the way had a miscarriage say a prayer, Sad
i feel so deflated no more doggy , Sad
is feeling bad just got bad news about my mum, Sad
don t feel like working i think i tweet this too often , Sad
vineri nimic special sau probabil un alt weekend pierdut , Sad
got to final table but went out third don t think i ll be getting my free seat, Sad
the humpalow um ya i think so cell is dying, Sad
last day at work sick to the bone, Sad
i feel like i m on house arrest , Sad
 cosmiclagoon did you know that there is a shortage of shells for crabs to use on the beach due to beach combers it is very sad, Sad
it s a sad economy just heard of another friend losing their job so sad but just a reminder that , Sad
 jarekpastor i m just starting to feel really panicky and anxious that something bad has happened cos it seems like it s been ages, Sad
my dog ran awayyy, Sad
i m back top molar extracted swollen face all numb but no more toothache or sinus pain , Sad
does anyone know any good rap songs i need to make a rap fun cd and i have no idea helllllpppp, Sad
my mobile phone refuses to charge either the battery is broken or the chargerrr booooo, Sad
 kirsten oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something, Sad
 kimberly hmmm i thought u were sleeping too bad i can t see those videos until tomorrow night , Sad
 charloro jealous it looks like schindler s list in toronto, Sad
nearly fell asleep but was jolted out of bed by a massive panic attack and now i m not sure if i can sleep at all , Sad
tactical mistake going to the city library and buying milk who knew ouch ouch ouch maybe a good thing i didn t try for uni , Sad
my stomach feels like it s touching the ground i m so full, Sad
sooo much work so little time, Sad
ugh my internet was down , Sad
is feeling so giddy and wanna go home , Sad
up and packing its the last day of youth camp, Sad
somebody please save the polar bears , Sad
it has come to my attention from a yo friend that i ve recently gained a ton of weight he didn t know it was me , Sad
guess im staying home tonight no movie ing for me, Sad
 buzzedition reminds me of the weather a month ago it was horrible i hope all is well hugs, Sad
 jaydz hope ya sleepin well guys still here, Sad
damn being drunk and hot sucks, Sad
is not sleeping because he has paperwork to do , Sad
showered in ice cold water sweating now means one thing i m sick, Sad
midnight cry wish the person i wanted wanted me right now, Sad
went to pole class feeling discouraged i am hopeless when it cones to dancing or sexy moves or spreading my legs , Sad
 roasterboy and these poor unfortunate souls don t appear to have any pants at all http blip fm qvz, Sad
 damohopo stephanieellen if i told you how often i wash my hair you would never speak to me again, Sad
looks like another sleepless night dedicated to homework sorry in advance ms chapman , Sad
